timestamp,temperature,humidity,sound,anomaly
2026-02-02 08:44:52,22.01,45.08,68.21,1
2026-02-02 08:44:53,22.08,45.06,68.45,1
2026-02-02 08:44:54,22.17,45.05,68.68,1
2026-02-02 08:44:55,22.15,45.1,68.94,1
2026-02-02 08:44:56,22.13,45.03,69.01,1
2026-02-02 08:44:57,22.08,45.1,68.59,1
2026-02-02 08:44:58,22.08,45.02,68.71,1
2026-02-02 08:44:59,22.12,45.07,68.93,1
2026-02-02 08:45:00,22.07,45.35,68.71,1
2026-02-02 08:45:01,22.09,45.34,68.91,1
2026-02-02 08:45:02,22.08,45.36,68.45,1
2026-02-02 08:45:03,22.06,45.48,68.7,1
2026-02-02 08:45:04,22.08,45.45,69.09,1
2026-02-02 08:45:05,22.18,45.43,69.22,1
2026-02-02 08:45:06,22.19,45.41,69.05,1
2026-02-02 08:45:07,22.23,45.2,68.86,1
2026-02-02 08:45:08,22.18,45.11,68.91,1
2026-02-02 08:45:09,22.18,44.89,69.11,1
2026-02-02 08:45:10,22.19,44.82,69.74,1
2026-02-02 08:45:11,22.22,45.03,69.37,1
2026-02-02 08:45:12,22.27,45.06,69.73,1
2026-02-02 08:45:13,22.29,45.0,69.62,1
2026-02-02 08:45:14,22.36,45.08,69.24,1
2026-02-02 08:45:15,22.36,45.18,69.04,1
2026-02-02 08:45:16,22.34,45.07,69.1,1
2026-02-02 08:45:17,22.3,44.99,69.47,1
2026-02-02 08:45:18,22.28,44.92,68.98,1
2026-02-02 08:45:19,22.2,44.78,68.73,1
2026-02-02 08:45:20,22.2,44.65,69.17,1
2026-02-02 08:45:21,22.15,44.64,69.15,1
2026-02-02 08:45:22,22.18,44.47,69.23,1
2026-02-02 08:45:23,22.23,44.52,69.11,1
2026-02-02 08:45:24,22.22,44.64,69.15,1
2026-02-02 08:45:25,22.19,44.47,69.06,1
2026-02-02 08:45:26,22.23,44.46,68.48,1
2026-02-02 08:45:27,22.3,44.53,68.54,1
2026-02-02 08:45:28,22.29,44.63,68.17,1
2026-02-02 08:45:29,22.3,44.74,68.33,1
2026-02-02 08:45:30,22.3,44.75,67.8,1
2026-02-02 08:45:31,22.26,44.58,67.17,1
2026-02-02 08:45:32,22.3,44.54,67.08,1
2026-02-02 08:45:33,22.32,44.44,67.09,1
2026-02-02 08:45:34,22.19,44.56,67.25,1
2026-02-02 08:45:35,22.17,44.71,67.41,1
